Volcano_Filter,Volcano_Code_Filter,Timestamp,Alert_Level,Volcano_Report,Author_Observatory,Description,Detail_Link,Page,Volcano_Name,Volcano_Code,Issued_Time,Current_Color_Code,Previous_Color_Code,Notice_Number,Volcano_Location,Latitude,Longitude,Area,Summit_Elevation_FT,Summit_Elevation_M,Volcanic_Activity_Summary,Volcanic_Cloud_Height,Other_Volcanic_Cloud_Info,Remarks
Merapi,MER,2026-03-03 00:00:00 UTC,Yellow,Merapi - 20260303/0000Z,"Rachmad Widyo Laksono, Merapi Volcano Observatory - 2 days ago",Increasing in volcanic activity. Ash-cloud is not observed. Ash-cloud is not observed..,https://magma.esdm.go.id/v1/vona/20379?signature=5a8e7a079c8d3e866799693d5942206accfc6df325aacf321fe84734207bffa5,1,Merapi,263250,20260303/0000Z,YELLOW,yellow,2026MER006,S 07 deg 32 min 31 sec E 110 deg 26 min 31 sec,-7.541944444,110.4419444,"Special Region of Yogyakarta, Indonesia",9498,2968,Increasing in volcanic activity.,Ash-cloud is not observed.,Ash-cloud is not observed.,"The volcano is clearly visible to cloudy. No gas emission is observed. The weather is cloudy, with light to moderate winds from the east."
Merapi,MER,2026-02-16 00:00:00 UTC,Yellow,Merapi - 20260216/0000Z,"Erwin Widyon, Merapi Volcano Observatory - 2 weeks ago",Increasing in volcanic activity. Ash-cloud is not observed. Ash-cloud is not observed..,https://magma.esdm.go.id/v1/vona/20162?signature=24675d1f0492a76258c60438314f73935e25ccb5833ddb83d86f5bc1ba8262d1,1,Merapi,263250,20260216/0000Z,YELLOW,yellow,2026MER005,S 07 deg 32 min 31 sec E 110 deg 26 min 31 sec,-7.541944444,110.4419444,"Special Region of Yogyakarta, Indonesia",9498,2968,Increasing in volcanic activity.,Ash-cloud is not observed.,Ash-cloud is not observed.,"The volcano is clearly visible to cloudy. No gas emission is observed. The weather is cloudy to rainy, with light to moderate winds from the west."
Merapi,MER,2026-02-01 00:00:00 UTC,Yellow,Merapi - 20260201/0000Z,"Erwin Widyon, Merapi Volcano Observatory - 1 month ago",Increasing in volcanic activity. Ash-cloud is not observed. Ash-cloud is not observed..,https://magma.esdm.go.id/v1/vona/19954?signature=8cd1ef4722f428eca30e304d3ff0b86de7fa9f14a6bda91e54eccb8ac6fded35,1,Merapi,263250,20260201/0000Z,YELLOW,yellow,2026MER004,S 07 deg 32 min 31 sec E 110 deg 26 min 31 sec,-7.541944444,110.4419444,"Special Region of Yogyakarta, Indonesia",9498,2968,Increasing in volcanic activity.,Ash-cloud is not observed.,Ash-cloud is not observed.,"The volcano is cloudy.
No gas emission is observed.
The weather is cloudy to rainy, with light to moderate winds from the west."
Merapi,MER,2026-01-16 07:59:00 UTC,Yellow,Merapi - 20260116/0759Z,"Alzwar Nurmanaji, A.Md, Merapi Volcano Observatory - 1 month ago",Increasing in volcanic activity. Ash-cloud is not observed. Ash-cloud is not observed..,https://magma.esdm.go.id/v1/vona/19806?signature=4a0c64a2631b6a871cfd75a8b2e17a7d06304ebf466dc0e22b6db8fdb102c746,1,Merapi,263250,20260116/0759Z,YELLOW,yellow,2026MER003,S 07 deg 32 min 31 sec E 110 deg 26 min 31 sec,-7.541944444,110.4419444,"Special Region of Yogyakarta, Indonesia",9498,2968,Increasing in volcanic activity.,Ash-cloud is not observed.,Ash-cloud is not observed.,"The volcano was covered by clouds. Crater emissions were not observed. The weather was cloudy to rainy, with weak to moderate winds blowing toward the east."
Merapi,MER,2026-01-07 03:00:00 UTC,Yellow,Merapi - 20260107/0300Z,"Alzwar Nurmanaji, A.Md, Merapi Volcano Observatory - 1 month ago",Increasing in volcanic activity. Ash-cloud is not observed. Ash-cloud is not observed..,https://magma.esdm.go.id/v1/vona/19660?signature=e255fdbfdf88c112cefe19afae9543db2b3cad4a79a5f0002d2ae81a4eff6954,1,Merapi,263250,20260107/0300Z,YELLOW,unassigned,2026MER002,S 07 deg 32 min 31 sec E 110 deg 26 min 31 sec,-7.541944444,110.4419444,"Special Region of Yogyakarta, Indonesia",9498,2968,Increasing in volcanic activity.,Ash-cloud is not observed.,Ash-cloud is not observed.,"The volcano is clearly visible to cloudy. No gas emission is observed. The weather is sunny to cloudy, with light to moderate winds from the east."
Merapi,MER,2024-06-11 07:34:00 UTC,Yellow,Merapi - 20240611/0734Z,"Rachmad Widyo Laksono, Merapi Volcano Observatory - 1 year ago",Increasing in volcanic activity. Best estimate of ash-cloud top is around 12698 FT (3968 M) above sea level or 3200 FT (1000 M) above summit. May be higher than what can be observed clearly. Source of height data: ground observer. Ash cloud moving to west. Volcanic ash is observed to be gray. The intensity of volcanic ash is observed to be medium..,https://magma.esdm.go.id/v1/vona/8666?signature=1097e0af1e8013e4e315d9e79baa9cc5efb95e68c87dc2ee0718639a261239df,1,Merapi,263250,20240611/0734Z,YELLOW,unassigned,EXERCISE-2024MER001,S 07 deg 32 min 31 sec E 110 deg 26 min 31 sec,-7.541944444,110.4419444,"Special Region of Yogyakarta, Indonesia",9498,2968,Increasing in volcanic activity.,Best estimate of ash-cloud top is around 12698 FT (3968 M) above sea level or 3200 FT (1000 M) above summit. May be higher than what can be observed clearly. Source of height data: ground observer.,Ash cloud moving to west. Volcanic ash is observed to be gray. The intensity of volcanic ash is observed to be medium.,Eruption recorded on seismogram with maximum amplitude 50 mm and maximum duration 30 second. ash venting generated by PDC or SO2 Gas emotion
Merapi,MER,2024-01-24 08:56:00 UTC,Orange,Merapi - 20240124/0856Z,"Sulistiyani, S.Si., Merapi Volcano Observatory - 2 years ago",Eruption with volcanic ash cloud at 0856 UTC (1556 local). Best estimate of ash-cloud top is around 12698 FT (3968 M) above sea level or 3200 FT (1000 M) above summit. May be higher than what can be observed clearly. Source of height data: ground observer. Ash cloud moving from east to southeast. Volcanic ash is observed to be gray to brown. The intensity of volcanic ash is observed from medium to thick..,https://magma.esdm.go.id/v1/vona/7879?signature=d3c85f85a384a0e01d97332082c6795352322a228b1a76c363eac7cf1ab452e2,1,Merapi,263250,20240124/0856Z,ORANGE,orange,2024MER002,S 07 deg 32 min 31 sec E 110 deg 26 min 31 sec,-7.541944444,110.4419444,"Special Region of Yogyakarta, Indonesia",9498,2968,Eruption with volcanic ash cloud at 0856 UTC (1556 local).,Best estimate of ash-cloud top is around 12698 FT (3968 M) above sea level or 3200 FT (1000 M) above summit. May be higher than what can be observed clearly. Source of height data: ground observer.,Ash cloud moving from east to southeast. Volcanic ash is observed to be gray to brown. The intensity of volcanic ash is observed from medium to thick.,"Eruption recorded on seismogram with maximum amplitude 51 mm and maximum duration 168 second. Ash cloud generated by pyroclastic density current (PDC). Ash rain reported at Deles/Kemalang Klaten and Jemowo/Boyolali. Run out distance PDC 1,8 km to the south-west (Kali Bebeng)."
Merapi,MER,2024-01-21 07:12:00 UTC,Orange,Merapi - 20240121/0712Z,"Sulistiyani, S.Si., Merapi Volcano Observatory - 2 years ago",Eruption at 0712 UTC (1412 local). Ash-cloud is not observed. Ash-cloud is not observed..,https://magma.esdm.go.id/v1/vona/7874?signature=94423b459b3be71477bccc74327fb9842702bd9b37865bf6575eebf6562b5db2,1,Merapi,263250,20240121/0712Z,ORANGE,unassigned,2024MER001,S 07 deg 32 min 31 sec E 110 deg 26 min 31 sec,-7.541944444,110.4419444,"Special Region of Yogyakarta, Indonesia",9498,2968,Eruption at 0712 UTC (1412 local).,Ash-cloud is not observed.,Ash-cloud is not observed.,"Eruption recorded on seismogram with maximum amplitude 70 mm and maximum duration 239.64 second. Wind direction to the southeast-east. Ash rain reported at Deles, Sapuangin (Klaten), Mriyan, Boyolali (Boyolali)."
Merapi,MER,2023-12-08 07:46:00 UTC,Orange,Merapi - 20231208/0746Z,"Sulistiyani, S.Si., Merapi Volcano Observatory - 2 years ago",Eruption at 0746 UTC (1446 local). Ash-cloud is not observed. Ash-cloud is not observed..,https://magma.esdm.go.id/v1/vona/7708?signature=61ec3ff54096354861ab120caf8f8f748826f51d71f6ed999b8787a0ebce787f,1,Merapi,263250,20231208/0746Z,ORANGE,orange,2023MER009,S 07 deg 32 min 31 sec E 110 deg 26 min 31 sec,-7.541944444,110.4419444,"Special Region of Yogyakarta, Indonesia",9498,2968,Eruption at 0746 UTC (1446 local).,Ash-cloud is not observed.,Ash-cloud is not observed.,Eruption and ash emission is continuing. Eruption recorded on seismogram with maximum amplitude 75 mm.
Merapi,MER,2023-03-15 03:36:00 UTC,Orange,Merapi - 20230315/0336Z,"Sulistiyani, S.Si., Merapi Volcano Observatory - 2 years ago",Eruption with volcanic ash cloud at 0336 UTC (1036 local). Best estimate of ash-cloud top is around 13338 FT (4168 M) above sea level or 3840 FT (1200 M) above summit. May be higher than what can be observed clearly. Source of height data: ground observer. Ash cloud moving to east. Volcanic ash is observed to be gray to brown. The intensity of volcanic ash is observed to be medium..,https://magma.esdm.go.id/v1/vona/7035?signature=38a34f0331b6ef774a31935a9a6277bb20442cb7a4b958252ce49e93cef045bf,1,Merapi,263250,20230315/0336Z,ORANGE,orange,2023MER006,S 07 deg 32 min 31 sec E 110 deg 26 min 31 sec,-7.541944444,110.4419444,"Special Region of Yogyakarta, Indonesia",9498,2968,Eruption with volcanic ash cloud at 0336 UTC (1036 local).,Best estimate of ash-cloud top is around 13338 FT (4168 M) above sea level or 3840 FT (1200 M) above summit. May be higher than what can be observed clearly. Source of height data: ground observer.,Ash cloud moving to east. Volcanic ash is observed to be gray to brown. The intensity of volcanic ash is observed to be medium.,Eruption recorded on seismogram with maximum amplitude 65 mm and maximum duration 133 second. Ash cloud generated by pyroclastic density currents.
Merapi,MER,2023-03-13 22:50:00 UTC,Orange,Merapi - 20230313/2250Z,"Sulistiyani, S.Si., Merapi Volcano Observatory - 2 years ago",Eruption with volcanic ash cloud at 2250 UTC (0550 local). Best estimate of ash-cloud top is around 14298 FT (4468 M) above sea level or 4800 FT (1500 M) above summit. May be higher than what can be observed clearly. Source of height data: ground observer. Ash cloud moving from east to southeast. Volcanic ash is observed to be gray to brown. The intensity of volcanic ash is observed from medium to thick..,https://magma.esdm.go.id/v1/vona/7031?signature=e7606c3837268ac5c7351d1d8c8bf6e04ed677da77d672248d2a38a75125b6b4,1,Merapi,263250,20230313/2250Z,ORANGE,orange,2023MER005,S 07 deg 32 min 31 sec E 110 deg 26 min 31 sec,-7.541944444,110.4419444,"Special Region of Yogyakarta, Indonesia",9498,2968,Eruption with volcanic ash cloud at 2250 UTC (0550 local).,Best estimate of ash-cloud top is around 14298 FT (4468 M) above sea level or 4800 FT (1500 M) above summit. May be higher than what can be observed clearly. Source of height data: ground observer.,Ash cloud moving from east to southeast. Volcanic ash is observed to be gray to brown. The intensity of volcanic ash is observed from medium to thick.,Eruption recorded on seismogram with maximum amplitude 70 mm and maximum duration 160 second. Ash cloud generated by pyroclastic density currents.
Merapi,MER,2023-03-12 09:19:00 UTC,Orange,Merapi - 20230312/0919Z,"Sulistiyani, S.Si., Merapi Volcano Observatory - 2 years ago",Eruption with volcanic ash cloud at 0919 UTC (1619 local). Best estimate of ash-cloud top is around 17498 FT (5468 M) above sea level or 8000 FT (2500 M) above summit. May be higher than what can be observed clearly. Source of height data: ground observer. Ash cloud moving from north to northwest. Volcanic ash is observed to be white to gray. The intensity of volcanic ash is observed from medium to thick..,https://magma.esdm.go.id/v1/vona/7027?signature=8ca0f5392e6376f72c49268699e40727c7eb8406a41783864cd2bb5c634efa4c,1,Merapi,263250,20230312/0919Z,ORANGE,orange,2023MER004,S 07 deg 32 min 31 sec E 110 deg 26 min 31 sec,-7.541944444,110.4419444,"Special Region of Yogyakarta, Indonesia",9498,2968,Eruption with volcanic ash cloud at 0919 UTC (1619 local).,Best estimate of ash-cloud top is around 17498 FT (5468 M) above sea level or 8000 FT (2500 M) above summit. May be higher than what can be observed clearly. Source of height data: ground observer.,Ash cloud moving from north to northwest. Volcanic ash is observed to be white to gray. The intensity of volcanic ash is observed from medium to thick.,Eruption recorded on seismogram with maximum amplitude 70 mm and maximum duration 145 second. Ash cloud generated by pyroclastic density currents.
Merapi,MER,2023-03-12 00:08:00 UTC,Orange,Merapi - 20230312/0008Z,"Sulistiyani, S.Si., Merapi Volcano Observatory - 2 years ago",Eruption with volcanic ash cloud at 0008 UTC (0708 local). Best estimate of ash-cloud top is around 15898 FT (4968 M) above sea level or 6400 FT (2000 M) above summit. May be higher than what can be observed clearly. Source of height data: ground observer. Ash cloud moving from north to northwest. Volcanic ash is observed to be white to gray. The intensity of volcanic ash is observed from medium to thick..,https://magma.esdm.go.id/v1/vona/7025?signature=d74a19b939c9fdc318b1236ec47a6621f0bb1d6b550b24f6431f025478258226,1,Merapi,263250,20230312/0008Z,ORANGE,orange,2023MER003,S 07 deg 32 min 31 sec E 110 deg 26 min 31 sec,-7.541944444,110.4419444,"Special Region of Yogyakarta, Indonesia",9498,2968,Eruption with volcanic ash cloud at 0008 UTC (0708 local).,Best estimate of ash-cloud top is around 15898 FT (4968 M) above sea level or 6400 FT (2000 M) above summit. May be higher than what can be observed clearly. Source of height data: ground observer.,Ash cloud moving from north to northwest. Volcanic ash is observed to be white to gray. The intensity of volcanic ash is observed from medium to thick.,Eruption recorded on seismogram with maximum amplitude 70 mm and maximum duration 169 second. Ash fall generated by pyroclastic density currents towards south west as far as 2 km.
Merapi,MER,2023-03-11 06:06:00 UTC,Orange,Merapi - 20230311/0606Z,"Sulistiyani, S.Si., Merapi Volcano Observatory - 2 years ago",Eruption with volcanic ash cloud at 0606 UTC (1306 local). Best estimate of ash-cloud top is around 19098 FT (5968 M) above sea level or 9600 FT (3000 M) above summit. May be higher than what can be observed clearly. Source of height data: ground observer. Ash cloud moving from west to northwest. Volcanic ash is observed to be white to gray. The intensity of volcanic ash is observed from medium to thick..,https://magma.esdm.go.id/v1/vona/7022?signature=602f5d1efcaf5b5f87d41f6378e3ca7b6cb9393377fd87c0a3b1230af1ff1f18,1,Merapi,263250,20230311/0606Z,ORANGE,orange,2023MER002,S 07 deg 32 min 31 sec E 110 deg 26 min 31 sec,-7.541944444,110.4419444,"Special Region of Yogyakarta, Indonesia",9498,2968,Eruption with volcanic ash cloud at 0606 UTC (1306 local).,Best estimate of ash-cloud top is around 19098 FT (5968 M) above sea level or 9600 FT (3000 M) above summit. May be higher than what can be observed clearly. Source of height data: ground observer.,Ash cloud moving from west to northwest. Volcanic ash is observed to be white to gray. The intensity of volcanic ash is observed from medium to thick.,Eruption recorded on seismogram with maximum amplitude 70 mm and maximum duration 202 second. Ash fall generated by pyroclastic density currents
Merapi,MER,2023-03-11 05:12:00 UTC,Orange,Merapi - 20230311/0512Z,"Sulistiyani, S.Si., Merapi Volcano Observatory - 2 years ago",Eruption with volcanic ash cloud at 0512 UTC (1212 local). Best estimate of ash-cloud top is around 19098 FT (5968 M) above sea level or 9600 FT (3000 M) above summit. May be higher than what can be observed clearly. Source of height data: ground observer. Ash cloud moving from west to northwest. Volcanic ash is observed to be white to gray. The intensity of volcanic ash is observed to be thick..,https://magma.esdm.go.id/v1/vona/7019?signature=860b43bc0bf535a3a6733b429a8305fbb90348569406268a352ca67c38a07fd1,1,Merapi,263250,20230311/0512Z,ORANGE,unassigned,2023MER001,S 07 deg 32 min 31 sec E 110 deg 26 min 31 sec,-7.541944444,110.4419444,"Special Region of Yogyakarta, Indonesia",9498,2968,Eruption with volcanic ash cloud at 0512 UTC (1212 local).,Best estimate of ash-cloud top is around 19098 FT (5968 M) above sea level or 9600 FT (3000 M) above summit. May be higher than what can be observed clearly. Source of height data: ground observer.,Ash cloud moving from west to northwest. Volcanic ash is observed to be white to gray. The intensity of volcanic ash is observed to be thick.,Eruption and ash emission is continuing. Eruption recorded on seismogram with maximum amplitude 75 mm.
Merapi,MER,2022-03-09 17:00:00 UTC,Red,Merapi - 20220309/1700Z,"Sulistiyani, S.Si., Merapi Volcano Observatory - 3 years ago","Eruption with volcanic ash cloud at 1618 UTC (2318 local). Eruption and ash emission is continuing Best estimate of ash-cloud top is around 19098 FT (5968 M) above sea level, may be higher than what can be observed clearly. Source of height data: ground observer. Ash cloud moving to the southeast..",https://magma.esdm.go.id/v1/vona/6233?signature=916aee74913e85b2b2f18c3b7eff89c5be2f6b48cf64cfef0bff324b7ebc223f,2,Merapi,263250,20220309/1700Z,RED,unassigned,2022MER01,S 07 deg 32 min 31 sec E 110 deg 26 min 31 sec,-7.541944444,110.4419444,"Special Region of Yogyakarta, Indonesia",9498,2968,Eruption with volcanic ash cloud at 1618 UTC (2318 local). Eruption and ash emission is continuing,"Best estimate of ash-cloud top is around 19098 FT (5968 M) above sea level, may be higher than what can be observed clearly. Source of height data: ground observer.",Ash cloud moving to the southeast.,"PDC moving to the southeast, wind direction to the west."
Merapi,MER,2021-12-01 14:41:00 UTC,Orange,Merapi - 20211201/1441Z,"Sulistiyani, S.Si., Merapi Volcano Observatory - 4 years ago","Eruption with volcanic ash cloud at 1404 UTC (2104 local). Eruption has stopped. Best estimate of ash-cloud top is around 12698 FT (3968 M) above sea level, may be higher than what can be observed clearly. Source of height data: ground observer. Ash-cloud moving to east..",https://magma.esdm.go.id/v1/vona/6132?signature=21f3cde5b55e9a99df86a19a2dc6d6f67189586eb35dfaad0c9c5071ac68e054,2,Merapi,263250,20211201/1441Z,ORANGE,orange,2021MER07,S 07 deg 32 min 31 sec E 110 deg 26 min 31 sec,-7.541944444,110.4419444,"Special Region of Yogyakarta, Indonesia",9498,2968,Eruption with volcanic ash cloud at 1404 UTC (2104 local). Eruption has stopped.,"Best estimate of ash-cloud top is around 12698 FT (3968 M) above sea level, may be higher than what can be observed clearly. Source of height data: ground observer.",Ash-cloud moving to east.,The eruption was recorded on the seismograph with 41 mm amplitude and 702-second duration. PDC moving to Kali Bebeng approximately 3 km.
